20180313 090000000000,255.500,259.000,255.000,259.000,33673
20180314 090000000000,256.500,257.500,255.500,257.000,23735
20180315 090000000000,258.000,258.000,249.500,255.000,82190
20180316 090000000000,253.000,256.000,249.500,255.000,62874
20180319 090000000000,252.500,255.500,251.000,255.000,21404
20180320 090000000000,253.000,254.000,251.500,253.000,21803
20180321 090000000000,255.000,255.000,251.000,252.500,28937
20180322 090000000000,254.500,254.500,249.500,251.500,26952
20180323 090000000000,245.000,247.000,244.000,245.000,52340
20180326 090000000000,241.500,244.500,241.500,243.500,36947
20180327 090000000000,248.000,251.000,247.000,251.000,30912
20180328 090000000000,247.500,248.000,244.000,245.000,16488
20180329 090000000000,243.000,247.000,242.500,244.000,36128
20180330 090000000000,247.500,249.500,246.000,246.000,16968
20180331 090000000000,247.500,249.000,246.500,247.500,3569
20180402 090000000000,248.500,249.000,245.000,246.500,17661
20180403 090000000000,243.000,244.500,242.000,244.000,35766
20180409 090000000000,248.000,248.000,243.500,245.000,34644
20180410 090000000000,244.500,249.000,243.500,245.500,25126
20180411 090000000000,246.500,248.500,246.500,248.000,21572
20180412 090000000000,248.500,248.500,244.000,245.000,20356
20180413 090000000000,246.000,246.000,244.000,244.500,19705
20180416 090000000000,243.000,244.000,242.000,243.500,18312
20180417 090000000000,243.000,243.500,237.500,238.000,42694
20180418 090000000000,239.500,241.500,236.500,238.000,42452
20180419 090000000000,242.000,244.500,241.000,244.500,31835
20180420 090000000000,228.000,231.500,228.000,229.000,128292
20180423 090000000000,226.500,227.500,225.000,226.500,70848
20180424 090000000000,225.000,227.500,225.000,227.000,40897
20180425 090000000000,225.500,226.000,224.000,225.000,46590
20180426 090000000000,225.000,225.500,221.000,222.000,47898
20180427 090000000000,225.000,225.500,221.000,223.500,34100
20180430 090000000000,224.500,228.000,222.500,227.000,28442
20180502 090000000000,227.000,227.500,222.500,223.000,38104
20180503 090000000000,221.000,222.500,220.000,220.500,31604
20180504 090000000000,221.000,224.000,220.500,223.000,27153
20180507 090000000000,225.000,225.500,221.500,223.500,23241
20180508 090000000000,224.000,228.500,223.500,228.000,40219
20180509 090000000000,228.500,232.000,228.500,229.500,33737
20180510 090000000000,231.000,231.500,229.000,229.500,27484
20180511 090000000000,232.000,234.000,230.500,233.000,30642
20180514 090000000000,234.500,234.500,232.500,233.000,19876
20180515 090000000000,233.500,234.000,229.500,230.500,23671
20180516 090000000000,229.500,230.500,228.500,230.500,14351
20180517 090000000000,231.000,231.500,226.500,226.500,26680
20180518 090000000000,225.500,227.500,223.500,223.500,27610
20180521 090000000000,225.000,230.000,225.000,229.000,16089
20180522 090000000000,230.000,233.500,229.000,229.000,22326
20180523 090000000000,231.500,231.500,228.500,228.500,23039
20180524 090000000000,229.500,230.000,228.500,229.000,12973
20180525 090000000000,228.500,229.500,228.000,228.500,15950
20180528 090000000000,229.500,230.000,226.500,227.000,16347
20180529 090000000000,226.500,226.500,223.500,225.000,23710
20180530 090000000000,224.000,224.000,220.500,221.000,49103
20180531 090000000000,221.500,224.000,220.500,224.000,95923
